time union1 union2 union3
0, 90, -nan, -nan
0.421998, -47.4086, 79.4372, 28.414
0.422998, -47.4851, 79.3971, 28.4654
0.423998, -47.5612, 79.3571, 28.5166
0.424998, -47.6367, 79.3173, 28.5676
0.425998, -47.7116, 79.2778, 28.6184
0.426998, -47.786, 79.2383, 28.6691
0.427998, -47.8599, 79.199, 28.7196
0.428998, -47.9332, 79.1599, 28.7699
0.429998, -48.006, 79.1207, 28.8202
0.430998, -48.0782, 79.0819, 28.8701
0.431998, -48.1501, 79.0432, 28.92
0.432998, -48.2214, 79.0046, 28.9697
0.433998, -48.2921, 78.9661, 29.0193
0.434998, -48.3624, 78.9278, 29.0686
0.435998, -48.4322, 78.8896, 29.1179
0.436998, -48.5015, 78.8516, 29.1669
0.437998, -48.5704, 78.8137, 29.2158
0.438998, -48.6387, 78.776, 29.2646
0.439998, -48.7066, 78.7384, 29.3132
0.440998, -48.774, 78.7009, 29.3616
0.441998, -48.841, 78.6635, 29.4099
0.442998, -48.9075, 78.6263, 29.4581
0.443998, -48.9736, 78.5892, 29.506
0.444998, -49.0392, 78.5523, 29.5539
0.445998, -49.1044, 78.5155, 29.6015
0.446998, -49.1691, 78.4788, 29.649
0.447998, -49.2334, 78.4423, 29.6964
0.448998, -49.2973, 78.4058, 29.7436
0.449998, -49.3607, 78.3696, 29.7907
0.450998, -49.4237, 78.3335, 29.8376
0.451998, -49.4863, 78.2974, 29.8844
0.452998, -49.5485, 78.2615, 29.931
0.453998, -49.6103, 78.2257, 29.9775
0.454998, -49.6717, 78.19, 30.0239
0.455998, -49.7327, 78.1545, 30.07
0.456998, -49.7933, 78.1191, 30.1161
0.457998, -49.8535, 78.0838, 30.162
0.458998, -49.9133, 78.0486, 30.2077
0.459998, -49.9727, 78.0136, 30.2533
0.460998, -50.0317, 77.9786, 30.2988
0.461998, -50.0904, 77.9439, 30.3441
0.462998, -50.1487, 77.9092, 30.3893
0.463998, -50.2067, 77.8745, 30.4344
0.464998, -50.2642, 77.8401, 30.4793
0.465998, -50.3214, 77.8058, 30.5241
0.466998, -50.3782, 77.7715, 30.5687
0.467998, -50.4347, 77.7375, 30.6132
0.468998, -50.4908, 77.7034, 30.6576
0.469997, -50.5466, 77.6696, 30.7018
0.470997, -50.602, 77.6358, 30.7459
0.471997, -50.6571, 77.6021, 30.7898
0.472997, -50.7118, 77.5686, 30.8336
0.473997, -50.7663, 77.5353, 30.8773
0.474997, -50.8203, 77.502, 30.9208
0.475997, -50.874, 77.4688, 30.9642
0.476997, -50.9275, 77.4356, 31.0076
0.477997, -50.9805, 77.4026, 31.0507
0.478997, -51.0333, 77.3697, 31.0937
0.479997, -51.0858, 77.337, 31.1366
0.480997, -51.1379, 77.3043, 31.1794
0.481997, -51.1897, 77.2717, 31.222
0.482997, -51.2412, 77.2393, 31.2645
0.483997, -51.2924, 77.2069, 31.3069
0.484997, -51.3433, 77.1747, 31.3491
0.485997, -51.3939, 77.1425, 31.3913
0.486997, -51.4442, 77.1106, 31.4333
0.487997, -51.4942, 77.0786, 31.4751
0.488997, -51.5439, 77.0467, 31.5169
0.489997, -51.5933, 77.015, 31.5585
0.490997, -51.6424, 76.9833, 31.6
0.491997, -51.6913, 76.9518, 31.6414
0.492997, -51.7398, 76.9204, 31.6826
0.493997, -51.7881, 76.8891, 31.7238
0.494997, -51.8361, 76.8578, 31.7648
0.495997, -51.8838, 76.8267, 31.8056
0.496997, -51.9312, 76.7957, 31.8464
0.497997, -51.9784, 76.7647, 31.887
0.498997, -52.0253, 76.7339, 31.9276
0.499997, -52.0719, 76.7031, 31.968
0.500997, -52.1183, 76.6725, 32.0083
0.501997, -52.1644, 76.6419, 32.0485
0.502997, -52.2102, 76.6115, 32.0884
0.503997, -52.2559, 76.5811, 32.1284
0.504997, -52.3012, 76.5508, 32.1683
0.505997, -52.3463, 76.5206, 32.2079
0.506997, -52.3911, 76.4905, 32.2475
0.507997, -52.4357, 76.4604, 32.2871
0.508997, -52.48, 76.4305, 32.3264
0.509997, -52.5241, 76.4007, 32.3656
0.510997, -52.568, 76.371, 32.4048
0.511997, -52.6116, 76.3413, 32.4438
0.512997, -52.6549, 76.3118, 32.4827
0.513997, -52.6981, 76.2822, 32.5215
0.514997, -52.741, 76.2529, 32.5602
0.515997, -52.7836, 76.2235, 32.5988
0.516997, -52.826, 76.1944, 32.6372
0.517997, -52.8682, 76.1652, 32.6756
0.518997, -52.9102, 76.1363, 32.7138
0.519997, -52.952, 76.1072, 32.752
0.520997, -52.9935, 76.0784, 32.79
0.521997, -53.0348, 76.0495, 32.828
0.522997, -53.0759, 76.0208, 32.8658
0.523997, -53.1167, 75.9922, 32.9035
0.524997, -53.1573, 75.9637, 32.9411
0.525997, -53.1978, 75.9352, 32.9786
0.526997, -53.238, 75.9068, 33.016
0.527997, -53.278, 75.8786, 33.0533
0.528997, -53.3178, 75.8504, 33.0905
0.529997, -53.3574, 75.8222, 33.1276
0.530997, -53.3968, 75.7941, 33.1646
0.531997, -53.436, 75.7662, 33.2014
0.532997, -53.475, 75.7383, 33.2382
0.533997, -53.5137, 75.7105, 33.2749
0.534997, -53.5523, 75.6827, 33.3115
0.535997, -53.5907, 75.655, 33.3479
0.536997, -53.6289, 75.6274, 33.3843
0.537997, -53.6668, 75.6, 33.4206
0.538997, -53.7047, 75.5725, 33.4568
0.539997, -53.7422, 75.5452, 33.4928
0.540997, -53.7796, 75.5179, 33.5288
0.541997, -53.8169, 75.4907, 33.5647
0.542997, -53.8539, 75.4636, 33.6005
0.543997, -53.8907, 75.4365, 33.6362
0.544997, -53.9274, 75.4095, 33.6718
0.545997, -53.9639, 75.3826, 33.7073
0.546997, -54.0002, 75.3558, 33.7426
0.547997, -54.0363, 75.329, 33.778
0.548997, -54.0722, 75.3023, 33.8131
0.549996, -54.108, 75.2757, 33.8483
0.550996, -54.1436, 75.2492, 33.8833
0.551996, -54.179, 75.2226, 33.9182
0.552996, -54.2142, 75.1962, 33.9531
0.553996, -54.2493, 75.1698, 33.9878
0.554996, -54.2842, 75.1437, 34.0224
0.555996, -54.3189, 75.1175, 34.057
0.556996, -54.3535, 75.0913, 34.0915
0.557996, -54.3879, 75.0652, 34.1259
0.558996, -54.422, 75.0393, 34.1601
0.559996, -54.4561, 75.0133, 34.1943
0.560996, -54.49, 74.9874, 34.2285
0.561996, -54.5237, 74.9616, 34.2625
0.562996, -54.5573, 74.936, 34.2964
0.563996, -54.5907, 74.9102, 34.3302
0.564996, -54.6239, 74.8847, 34.364
0.565996, -54.657, 74.8591, 34.3976
0.566996, -54.69, 74.8337, 34.4312
0.567996, -54.7227, 74.8083, 34.4647
0.568996, -54.7554, 74.7829, 34.4981
0.569996, -54.7878, 74.7577, 34.5314
0.570996, -54.8201, 74.7325, 34.5646
0.571996, -54.8523, 74.7074, 34.5978
0.572996, -54.8843, 74.6823, 34.6308
0.573996, -54.9162, 74.6573, 34.6638
0.574996, -54.9479, 74.6323, 34.6967
0.575996, -54.9795, 74.6074, 34.7295
0.576996, -55.0109, 74.5826, 34.7622
0.577996, -55.0422, 74.5579, 34.7948
0.578996, -55.0734, 74.5331, 34.8275
0.579996, -55.1044, 74.5085, 34.8599
0.580996, -55.1352, 74.484, 34.8923
0.581996, -55.1659, 74.4594, 34.9246
0.582996, -55.1965, 74.435, 34.9568
0.583996, -55.227, 74.4105, 34.989
0.584996, -55.2573, 74.3862, 35.0211
0.585996, -55.2874, 74.362, 35.053
0.586996, -55.3175, 74.3377, 35.0849
0.587996, -55.3473, 74.3135, 35.1168
0.588996, -55.3771, 74.2894, 35.1485
0.589996, -55.4067, 74.2654, 35.1802
0.590996, -55.4362, 74.2414, 35.2118
0.591996, -55.4656, 74.2174, 35.2433
0.592996, -55.4948, 74.1936, 35.2747
0.593996, -55.5239, 74.1698, 35.3061
0.594996, -55.5529, 74.146, 35.3374
0.595996, -55.5817, 74.1223, 35.3685
