time x y z
0, -nan, -nan, -nan
0.552996, -9.322, 14.6224, 1.89961
0.553996, -9.322, 14.6298, 1.89925
0.554996, -9.322, 14.6373, 1.8989
0.555996, -9.322, 14.6447, 1.89854
0.556996, -9.322, 14.6521, 1.89818
0.557996, -9.322, 14.6594, 1.89782
0.558996, -9.322, 14.6667, 1.89746
0.559996, -9.322, 14.6741, 1.89709
0.560996, -9.322, 14.6814, 1.89673
0.561996, -9.322, 14.6886, 1.89637
0.562996, -9.322, 14.6959, 1.89601
0.563996, -9.322, 14.7031, 1.89564
0.564996, -9.322, 14.7103, 1.89528
0.565996, -9.322, 14.7175, 1.89491
0.566996, -9.322, 14.7246, 1.89455
0.567996, -9.322, 14.7317, 1.89418
0.568996, -9.322, 14.7388, 1.89381
0.569996, -9.322, 14.7459, 1.89345
0.570996, -9.322, 14.753, 1.89308
0.571996, -9.322, 14.76, 1.89271
0.572996, -9.322, 14.7671, 1.89234
0.573996, -9.322, 14.7741, 1.89197
0.574996, -9.322, 14.781, 1.8916
0.575996, -9.322, 14.788, 1.89123
0.576996, -9.322, 14.7949, 1.89086
0.577996, -9.322, 14.8019, 1.89049
0.578996, -9.322, 14.8088, 1.89011
0.579996, -9.322, 14.8156, 1.88974
0.580996, -9.322, 14.8225, 1.88936
0.581996, -9.322, 14.8293, 1.88899
0.582996, -9.322, 14.8361, 1.88862
0.583996, -9.322, 14.8429, 1.88824
0.584996, -9.322, 14.8497, 1.88786
0.585996, -9.322, 14.8564, 1.88749
0.586996, -9.322, 14.8632, 1.88711
0.587996, -9.322, 14.8699, 1.88673
0.588996, -9.322, 14.8766, 1.88635
0.589996, -9.322, 14.8832, 1.88597
0.590996, -9.322, 14.8899, 1.88559
0.591996, -9.322, 14.8965, 1.88521
0.592996, -9.322, 14.9031, 1.88483
0.593996, -9.322, 14.9097, 1.88445
0.594996, -9.322, 14.9163, 1.88406
0.595996, -9.322, 14.9228, 1.88368
0.596996, -9.322, 14.9294, 1.8833
0.597996, -9.322, 14.9359, 1.88291
0.598996, -9.322, 14.9424, 1.88253
0.599996, -9.322, 14.9488, 1.88214
0.600996, -9.322, 14.9553, 1.88176
0.601996, -9.322, 14.9618, 1.88137
0.602996, -9.322, 14.9682, 1.88098
0.603996, -9.322, 14.9746, 1.8806
0.604996, -9.322, 14.981, 1.88021
0.605996, -9.322, 14.9873, 1.87982
0.606996, -9.322, 14.9937, 1.87943
0.607996, -9.322, 15, 1.87904
0.608996, -9.322, 15.0063, 1.87865
0.609996, -9.322, 15.0126, 1.87826
0.610996, -9.322, 15.0189, 1.87786
0.611996, -9.322, 15.0251, 1.87747
0.612996, -9.322, 15.0314, 1.87708
0.613996, -9.322, 15.0376, 1.87668
0.614996, -9.322, 15.0438, 1.87629
0.615996, -9.322, 15.05, 1.87589
0.616996, -9.322, 15.0562, 1.8755
0.617996, -9.322, 15.0623, 1.8751
0.618996, -9.322, 15.0684, 1.87471
0.619996, -9.322, 15.0746, 1.87431
0.620996, -9.322, 15.0807, 1.87391
0.621996, -9.322, 15.0867, 1.87351
0.622996, -9.322, 15.0928, 1.87311
0.623996, -9.322, 15.0989, 1.87271
0.624996, -9.322, 15.1049, 1.87231
0.625996, -9.322, 15.1109, 1.87191
0.626996, -9.322, 15.1169, 1.87151
0.627995, -9.322, 15.1229, 1.87111
0.628995, -9.322, 15.1289, 1.87071
0.629995, -9.322, 15.1348, 1.8703
0.630995, -9.322, 15.1407, 1.8699
0.631995, -9.322, 15.1467, 1.86949
0.632995, -9.322, 15.1526, 1.86909
0.633995, -9.322, 15.1584, 1.86868
0.634995, -9.322, 15.1643, 1.86828
0.635995, -9.322, 15.1702, 1.86787
0.636995, -9.322, 15.176, 1.86746
0.637995, -9.322, 15.1818, 1.86706
0.638995, -9.322, 15.1876, 1.86665
0.639995, -9.322, 15.1934, 1.86624
0.640995, -9.322, 15.1992, 1.86583
0.641995, -9.322, 15.205, 1.86542
0.642995, -9.322, 15.2107, 1.86501
0.643995, -9.322, 15.2164, 1.8646
0.644995, -9.322, 15.2221, 1.86418
0.645995, -9.322, 15.2278, 1.86377
0.646995, -9.322, 15.2335, 1.86336
0.647995, -9.322, 15.2392, 1.86294
0.648995, -9.322, 15.2449, 1.86253
0.649995, -9.322, 15.2505, 1.86211
0.650995, -9.322, 15.2561, 1.8617
0.651995, -9.322, 15.2617, 1.86128
0.652995, -9.322, 15.2673, 1.86087
0.653995, -9.322, 15.2729, 1.86045
0.654995, -9.322, 15.2785, 1.86003
0.655995, -9.322, 15.284, 1.85961
0.656995, -9.322, 15.2895, 1.85919
0.657995, -9.322, 15.2951, 1.85877
0.658995, -9.322, 15.3006, 1.85835
0.659995, -9.322, 15.3061, 1.85793
0.660995, -9.322, 15.3115, 1.85751
0.661995, -9.322, 15.317, 1.85709
0.662995, -9.322, 15.3225, 1.85667
0.663995, -9.322, 15.3279, 1.85624
0.664995, -9.322, 15.3333, 1.85582
0.665995, -9.322, 15.3387, 1.85539
0.666995, -9.322, 15.3441, 1.85497
0.667995, -9.322, 15.3495, 1.85454
0.668995, -9.322, 15.3549, 1.85412
0.669995, -9.322, 15.3602, 1.85369
0.670995, -9.322, 15.3656, 1.85326
0.671995, -9.322, 15.3709, 1.85284
0.672995, -9.322, 15.3762, 1.85241
0.673995, -9.322, 15.3815, 1.85198
0.674995, -9.322, 15.3868, 1.85155
0.675995, -9.322, 15.392, 1.85112
0.676995, -9.322, 15.3973, 1.85069
0.677995, -9.322, 15.4025, 1.85026
0.678995, -9.322, 15.4078, 1.84983
0.679995, -9.322, 15.413, 1.84939
0.680995, -9.322, 15.4182, 1.84896
0.681995, -9.322, 15.4234, 1.84853
0.682995, -9.322, 15.4286, 1.84809
0.683995, -9.322, 15.4337, 1.84766
0.684995, -9.322, 15.4389, 1.84722
